City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
210,Nisia Floresta,BR,79.18,Clouds,-6.0911,-35.2086,Rancho Crepusculo
212,Mopti,ML,79.38,Clouds,14.6667,-4.0,
215,Lagoa,PT,73.65,Clouds,39.05,-27.9833,Casa Das Faias
216,Limbe,CM,75.65,Rain,4.0242,9.2149,The LK Hotel at Bonadikombo
219,Bambanglipuro,ID,75.87,Clouds,-7.95,110.2833,Puri Brata
221,Teabo,MX,82.13,Clouds,20.4,-89.2833,Comité Directivo Municipal del PAN de Teabo
224,Cabedelo,BR,75.87,Clouds,-6.9811,-34.8339,Pousada Camboinha
226,Soe,ID,72.41,Clouds,-9.8607,124.284,Dena Hotel
227,Canchungo,GW,77.13,Rain,12.0672,-16.0333,Aparthotel Napalach
233,Alugan,PH,78.58,Clouds,12.2188,125.4808,JM Lodge
234,Aquiraz,BR,80.69,Clear,-3.9014,-38.3911,Pousada Rua Camurupim
236,Monsenhor Gil,BR,81.72,Clouds,-5.5642,-42.6078,Campelo Residence
237,Marsh Harbour,BS,83.37,Clear,26.5412,-77.0636,Abaco Beach Resort
239,Dingle,PH,79.38,Clouds,10.9995,122.6711,SEGAYA PROPERTY
242,Mitu,CO,75.06,Clouds,1.1983,-70.1733,
243,Caravelas,BR,72.55,Clear,-17.7125,-39.2481,Pousada dos Navegantes
248,Vanimo,PG,83.01,Rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
251,Garmsar,IR,80.33,Clouds,35.2182,52.3409,مجتمع مرصاد
252,Itarema,BR,77.74,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
254,Veraval,IN,78.3,Clouds,20.9,70.3667,Lords Inn Somnath
256,Bathsheba,BB,83.01,Clouds,13.2167,-59.5167,Atlantis Hotel
258,Kaduqli,SD,72.81,Clouds,11.0167,29.7167,Nussyba
262,Hamilton,US,83.95,Clear,39.1834,-84.5333,Six Acres Bed & Breakfast
263,Luanda,AO,71.6,Clouds,-8.8368,13.2343,EPIC SANA Luanda
267,Wajid,SO,73.31,Clouds,3.8093,43.2471,xamdihotelresturant114
268,Shingu,JP,70.54,Clouds,33.7333,135.9833,Shingu UI Hotel
271,Myitkyina,MM,74.3,Clouds,25.3833,97.4,Shwe Phyu Hotel
