City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
60,La Ronge,55.1001,-105.2842,52.05,71,100,14.97,Clouds,CA,2022-09-20 23:25:31
61,Punta Arenas,-53.15,-70.9167,46.51,46,20,2.3,Clouds,CL,2022-09-20 23:25:31
62,Kaitangata,-46.2817,169.8464,51.28,86,68,3.13,Clouds,NZ,2022-09-20 23:25:31
63,New Norfolk,-42.7826,147.0587,57.92,61,76,1.01,Clouds,AU,2022-09-20 23:25:32
64,Viedma,-40.8135,-62.9967,47.46,52,2,5.08,Clear,AR,2022-09-20 23:25:32
65,Leningradskiy,69.3833,178.4167,36.05,70,5,14.94,Clear,RU,2022-09-20 23:25:32
66,Kapaa,22.0752,-159.319,87.78,69,0,16.11,Clear,US,2022-09-20 23:25:33
67,Cabo San Lucas,22.8909,-109.9124,83.61,87,100,8.05,Clouds,MX,2022-09-20 23:23:47
68,Acapulco,16.8634,-99.8901,80.42,83,100,4.61,Clouds,MX,2022-09-20 23:23:16
69,Sheridan,44.8333,-106.9173,59.38,63,100,14.97,Clouds,US,2022-09-20 23:25:33
70,Ostrovnoy,68.0531,39.5131,43.59,83,100,25.72,Rain,RU,2022-09-20 23:25:33
71,Marondera,-18.1853,31.5519,61.72,35,7,6.6,Clear,ZW,2022-09-20 23:25:34
72,Calama,-22.4667,-68.9333,59.49,15,0,14.97,Clear,CL,2022-09-20 23:25:34
73,San Quintin,30.4833,-115.95,74.17,65,86,17.2,Clouds,MX,2022-09-20 23:25:34
74,Kasongo-Lunda,-6.4667,16.8167,72.43,94,100,0.36,Clouds,CD,2022-09-20 23:25:34
75,Channel-Port Aux Basques,47.5702,-59.1367,53.33,69,41,10.69,Clouds,CA,2022-09-20 23:25:35
76,Saskylakh,71.9167,114.0833,24.98,86,100,19.37,Clouds,RU,2022-09-20 23:25:35
77,Benjamin Constant,-4.3831,-70.0311,80.73,78,75,4.61,Clouds,BR,2022-09-20 23:25:35
78,Souillac,-20.5167,57.5167,70.18,83,40,9.22,Rain,MU,2022-09-20 23:23:09
79,Cayenne,4.9333,-52.3333,77.04,88,0,3.44,Clear,GF,2022-09-20 23:25:36
80,Coahuayana,18.7333,-103.6833,76.69,95,100,0.29,Clouds,MX,2022-09-20 23:25:36
81,Axim,4.8699,-2.2405,75.16,90,93,5.7,Rain,GH,2022-09-20 23:25:36
82,Kakching,24.4833,93.9833,67.59,98,70,0.69,Clouds,IN,2022-09-20 23:25:37
83,Vestmanna,62.1564,-7.1664,49.12,100,100,8.05,Mist,FO,2022-09-20 23:25:37
84,Opuwo,-18.0607,13.84,66.11,24,0,2.01,Clear,NA,2022-09-20 23:25:37
85,Hasaki,35.7333,140.8333,64.8,70,100,19.98,Clouds,JP,2022-09-20 23:25:38
86,Hobart,-42.8794,147.3294,58.26,64,0,8.05,Clear,AU,2022-09-20 23:25:38
87,Chokurdakh,70.6333,147.9167,33.24,91,100,15.35,Snow,RU,2022-09-20 23:25:38
88,Kaeo,-35.1,173.7833,64.11,69,24,5.75,Clouds,NZ,2022-09-20 23:25:38
89,Ust-Maya,60.4167,134.5333,31.01,60,4,8.19,Clear,RU,2022-09-20 23:25:39
90,Xuanhua,40.6103,115.0447,54.91,42,24,1.05,Clouds,CN,2022-09-20 23:25:39
91,Airai,-8.9266,125.4092,66.47,68,28,3.09,Clouds,TL,2022-09-20 23:25:39
92,Karratha,-20.7377,116.8463,68.56,36,0,9.78,Clear,AU,2022-09-20 23:25:40
93,Mandalgovi,45.7625,106.2708,44.55,33,46,13.42,Clouds,MN,2022-09-20 23:25:40
94,Kavieng,-2.5744,150.7967,83.37,70,94,9.69,Clouds,PG,2022-09-20 23:23:12
95,Port Lincoln,-34.7333,135.8667,57.45,74,47,17.52,Clouds,AU,2022-09-20 23:26:40
96,Kodiak,57.79,-152.4072,58.51,51,0,10.36,Clear,US,2022-09-20 23:26:41
97,Haines Junction,60.7522,-137.5108,66.15,39,100,8.05,Clouds,CA,2022-09-20 23:26:41
98,Ewa Beach,21.3156,-158.0072,89.55,49,75,18.41,Clouds,US,2022-09-20 23:26:41
99,Kieta,-6.2167,155.6333,82.71,74,98,6.29,Rain,PG,2022-09-20 23:26:42
100,College,64.8569,-147.8028,48.15,79,75,4.61,Clouds,US,2022-09-20 23:26:42
101,Sao Filipe,14.8961,-24.4956,78.96,76,25,8.66,Clouds,CV,2022-09-20 23:26:42
102,Palencia,42.4167,-4.5,60.8,57,0,8.59,Clear,ES,2022-09-20 23:24:59
103,Luderitz,-26.6481,15.1594,65.37,33,0,10.18,Clear,NA,2022-09-20 23:26:43
104,Atuona,-9.8,-139.0333,76.8,75,27,20.33,Rain,PF,2022-09-20 23:26:43
105,Butaritari,3.0707,172.7902,81.23,76,81,10.04,Clouds,KI,2022-09-20 23:26:43
106,Cape Town,-33.9258,18.4232,56.26,76,0,1.14,Clear,ZA,2022-09-20 23:23:10
107,Mountain Home,43.133,-115.6912,85.48,10,40,4.61,Clouds,US,2022-09-20 23:25:30
108,Husavik,66.0449,-17.3389,53.8,77,78,7.36,Clouds,IS,2022-09-20 23:26:44
109,Barranca,-10.75,-77.7667,61.16,82,30,12.68,Clouds,PE,2022-09-20 23:26:44
110,Beringovskiy,63.05,179.3167,44.55,82,100,22.68,Rain,RU,2022-09-20 23:26:44
111,Damaturu,11.747,11.9608,77.23,76,94,5.86,Rain,NG,2022-09-20 23:26:45
112,Vaini,-21.2,-175.2,77.16,83,75,11.5,Clouds,TO,2022-09-20 23:26:45
113,Mazatlan,23.2167,-106.4167,88.02,80,40,4.0,Clouds,MX,2022-09-20 23:26:45
114,Avera,33.194,-82.5271,85.55,47,0,5.26,Clear,US,2022-09-20 23:26:46
115,Palmares Do Sul,-30.2578,-50.5097,59.07,90,71,6.71,Clouds,BR,2022-09-20 23:26:46
116,Verkhnevilyuysk,63.4453,120.3167,28.65,74,100,4.59,Clouds,RU,2022-09-20 23:26:46
117,Grindavik,63.8424,-22.4338,48.67,100,100,6.91,Clouds,IS,2022-09-20 23:26:46
118,Kandry,54.5667,54.1167,61.07,87,100,2.75,Clouds,RU,2022-09-20 23:26:47
119,Hilo,19.7297,-155.09,87.28,64,0,9.22,Clear,US,2022-09-20 23:24:30
120,Sydney,-33.8679,151.2073,68.34,76,75,19.57,Clouds,AU,2022-09-20 23:26:38
121,Ahipara,-35.1667,173.1667,62.62,71,5,6.42,Clear,NZ,2022-09-20 23:23:08
122,Pangody,65.85,74.4859,49.95,98,100,15.01,Clouds,RU,2022-09-20 23:26:47
123,Golden,39.7555,-105.2211,88.43,18,47,3.0,Clouds,US,2022-09-20 23:23:46
124,Grand Forks,47.9417,-97.4337,67.93,49,75,13.8,Clouds,US,2022-09-20 23:26:48
125,Najran,17.4924,44.1277,79.45,38,85,5.3,Clouds,SA,2022-09-20 23:26:48
126,Talnakh,69.4865,88.3972,31.21,71,100,9.31,Clouds,RU,2022-09-20 23:26:48
127,Tecoanapa,16.5167,-98.75,79.54,88,100,4.88,Clouds,MX,2022-09-20 23:26:49
128,Qaanaaq,77.484,-69.3632,23.58,64,100,6.58,Clouds,GL,2022-09-20 23:26:49
129,Mar Del Plata,-38.0023,-57.5575,50.09,77,0,3.0,Clear,AR,2022-09-20 23:26:49
130,Komsomolskiy,40.4272,71.7189,68.72,40,45,9.22,Clouds,UZ,2022-09-20 23:26:50
131,Saint-Joseph,-21.3667,55.6167,68.38,84,37,14.58,Rain,RE,2022-09-20 23:26:50
132,Ribeira Grande,38.5167,-28.7,74.28,81,24,3.65,Clouds,PT,2022-09-20 23:26:50
133,Ponta Do Sol,32.6667,-17.1,74.03,87,36,3.29,Clouds,PT,2022-09-20 23:26:51
134,North Bend,43.4065,-124.2243,71.24,94,0,9.22,Clear,US,2022-09-20 23:26:51
135,Russell,32.3502,-85.1999,87.08,83,0,0.0,Clear,US,2022-09-20 23:26:51
136,Bambous Virieux,-20.3428,57.7575,71.22,83,40,9.22,Rain,MU,2022-09-20 23:26:52
137,Chumikan,54.7183,135.315,42.8,65,27,21.61,Clouds,RU,2022-09-20 23:26:52
138,Luganville,-15.5333,167.1667,82.8,70,25,7.34,Clouds,VU,2022-09-20 23:27:52
139,San Francisco,37.7749,-122.4194,77.11,67,75,12.66,Clouds,US,2022-09-20 23:23:46
140,Yokadouma,3.5167,15.05,69.21,99,74,2.17,Clouds,CM,2022-09-20 23:27:53
141,Broome,42.2506,-75.833,65.68,81,40,9.22,Clouds,US,2022-09-20 23:27:53
142,Klaksvik,62.2266,-6.589,50.92,95,76,13.15,Clouds,FO,2022-09-20 23:27:53
143,Qurayyat,31.3318,37.3428,69.98,73,0,11.5,Clear,SA,2022-09-20 23:27:54
144,Flinders,-34.5833,150.8552,67.37,81,100,7.0,Clouds,AU,2022-09-20 23:27:54
145,Arlit,18.7369,7.3853,91.72,32,80,5.97,Clouds,NE,2022-09-20 23:27:54
146,Yambio,4.5721,28.3955,67.53,97,12,2.98,Clouds,SS,2022-09-20 23:27:55
147,Burns Lake,54.2331,-125.7533,67.42,24,10,3.11,Clear,CA,2022-09-20 23:25:06
148,Ilulissat,69.2167,-51.1,35.62,93,75,10.36,Drizzle,GL,2022-09-20 23:27:55
149,Ellisras,-23.6649,27.7443,60.57,89,22,3.22,Rain,ZA,2022-09-20 23:27:55
150,Saint-Philippe,-21.3585,55.7679,69.39,86,65,15.43,Rain,RE,2022-09-20 23:27:56
151,Poli,-3.3333,36.8,56.3,93,38,4.72,Clouds,TZ,2022-09-20 23:27:13
152,Waipawa,-41.4122,175.5153,55.18,74,23,8.84,Clouds,NZ,2022-09-20 23:27:56
153,Nichinan,31.6,131.3667,69.48,69,36,14.61,Clouds,JP,2022-09-20 23:27:56
154,Aklavik,68.2191,-135.0107,50.0,81,75,3.44,Clouds,CA,2022-09-20 23:27:57
155,Nabire,-3.3667,135.4833,77.14,87,100,2.82,Clouds,ID,2022-09-20 23:27:57
156,Chuy,-33.6971,-53.4616,51.66,80,100,8.28,Clouds,UY,2022-09-20 23:27:57
157,Nadvoitsy,63.8667,34.3167,44.89,84,99,8.32,Clouds,RU,2022-09-20 23:27:58
158,Avarua,-21.2078,-159.775,77.05,73,75,14.97,Clouds,CK,2022-09-20 23:27:58
159,Smithers,54.7804,-127.1743,68.32,32,20,3.44,Clouds,CA,2022-09-20 23:27:58
160,Narsaq,60.9167,-46.05,41.22,81,9,0.85,Clear,GL,2022-09-20 23:27:58
161,Tutoia,-2.7619,-42.2744,78.64,86,17,15.79,Clouds,BR,2022-09-20 23:27:59
162,Charters Towers,-20.1,146.2667,78.12,57,80,16.98,Clouds,AU,2022-09-20 23:27:59
163,Nizwa,22.9333,57.5333,81.54,51,9,1.07,Clear,OM,2022-09-20 23:27:59
164,Natal,-5.795,-35.2094,79.02,83,0,8.05,Clear,BR,2022-09-20 23:26:50
165,Vao,-22.6667,167.4833,73.6,79,0,10.65,Clear,NC,2022-09-20 23:28:00
166,Sorong,-0.8833,131.25,75.65,90,100,2.95,Clouds,ID,2022-09-20 23:28:00
167,Poum,-20.2333,164.0167,75.92,75,0,7.11,Clear,NC,2022-09-20 23:28:00
168,Nouadhibou,20.931,-17.0347,76.98,69,8,18.41,Clear,MR,2022-09-20 23:28:01
169,Hobyo,5.3505,48.5268,76.23,90,6,19.62,Clear,SO,2022-09-20 23:28:01
170,Macau,22.2006,113.5461,82.2,83,40,16.11,Clouds,MO,2022-09-20 23:28:01
171,Dillon,34.4166,-79.3712,87.78,50,35,3.4,Clouds,US,2022-09-20 23:26:32
172,Havelock,34.8791,-76.9013,84.18,80,20,4.61,Clouds,US,2022-09-20 23:26:30
173,Jaisalmer,26.9147,70.9181,81.05,63,4,16.26,Clear,IN,2022-09-20 23:28:02
174,Lerwick,60.1545,-1.1494,55.4,91,100,13.89,Clouds,GB,2022-09-20 23:28:02
175,Port Elizabeth,-33.918,25.5701,53.89,92,0,4.61,Clear,ZA,2022-09-20 23:25:59
176,Bardiyah,31.7561,25.0865,75.11,73,0,4.0,Clear,LY,2022-09-20 23:28:03
177,Boda,4.3189,17.4695,69.22,97,96,3.4,Rain,CF,2022-09-20 23:28:03
178,Filadelfia,39.9523,-75.1638,78.15,56,20,8.05,Clouds,US,2022-09-20 23:24:55
179,Iqaluit,63.7506,-68.5145,40.73,93,100,0.0,Clouds,CA,2022-09-20 23:29:04
180,East London,-33.0153,27.9116,59.18,71,45,6.55,Clouds,ZA,2022-09-20 23:29:04
181,Isangel,-19.55,169.2667,81.37,69,4,4.97,Clear,VU,2022-09-20 23:29:05
182,Ilinskoye-Khovanskoye,56.9718,39.7684,43.48,93,6,5.19,Clear,RU,2022-09-20 23:29:05
183,Chernyshevskiy,63.0128,112.4714,31.32,96,100,11.07,Snow,RU,2022-09-20 23:29:05
184,Southbridge,42.0751,-72.0334,66.67,97,66,4.38,Clouds,US,2022-09-20 23:29:06
