City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hasaki,JP,2022-09-16 01:37:21,35.7333,140.8333,84.29,64,99,7.74
68,Norman Wells,CA,2022-09-16 01:36:26,65.282,-126.8329,50.04,87,75,0.0
69,Broken Hill,AU,2022-09-16 01:37:21,-31.95,141.4333,62.37,42,100,25.14
70,Bluff,NZ,2022-09-16 01:37:21,-46.6,168.3333,46.8,55,55,8.9
71,Bathsheba,BB,2022-09-16 01:37:22,13.2167,-59.5167,81.21,83,20,4.61
72,Richards Bay,ZA,2022-09-16 01:37:22,-28.783,32.0377,65.07,80,4,3.76
73,Cherskiy,RU,2022-09-16 01:37:22,68.75,161.3,39.27,69,92,8.19
74,Katobu,ID,2022-09-16 01:37:22,-4.9408,122.5276,86.11,56,94,5.46
75,Codrington,AU,2022-09-16 01:37:23,-38.2667,141.9667,51.24,91,100,13.91
76,Provideniya,RU,2022-09-16 01:37:23,64.3833,-173.3,51.91,76,100,15.99
77,Albany,US,2022-09-16 01:34:48,42.6001,-73.9662,56.57,76,3,5.37
78,Huarmey,PE,2022-09-16 01:37:24,-10.0681,-78.1522,62.46,84,85,6.29
79,Ponta Do Sol,PT,2022-09-16 01:37:24,32.6667,-17.1,75.83,89,26,5.1
80,Vaini,TO,2022-09-16 01:37:24,-21.2,-175.2,78.96,89,75,10.36
81,Saint George,US,2022-09-16 01:37:24,37.1041,-113.5841,84.94,39,0,6.91
82,Thompson,CA,2022-09-16 01:37:25,55.7435,-97.8558,53.76,94,20,0.0
83,Nikolskoye,RU,2022-09-16 01:37:25,59.7035,30.7861,53.49,88,96,9.48
84,Port Lincoln,AU,2022-09-16 01:37:25,-34.7333,135.8667,56.7,57,4,27.18
85,Merauke,ID,2022-09-16 01:37:25,-8.4667,140.3333,85.28,67,100,7.94
86,Mende,FR,2022-09-16 01:37:26,44.6667,3.5,47.82,99,32,2.84
87,Imbituba,BR,2022-09-16 01:37:26,-28.24,-48.6703,58.84,88,63,1.63
88,Upernavik,GL,2022-09-16 01:37:26,72.7868,-56.1549,38.61,97,100,17.18
89,Iqaluit,CA,2022-09-16 01:37:27,63.7506,-68.5145,42.53,86,75,6.91
90,Cleethorpes,GB,2022-09-16 01:38:27,53.5605,-0.0323,53.85,81,20,12.66
91,Uruzgan,AF,2022-09-16 01:38:27,32.8333,66.0,65.19,12,0,6.2
92,Lewistown,US,2022-09-16 01:38:27,40.5992,-77.5714,61.54,94,0,0.0
93,Asfi,MA,2022-09-16 01:38:28,32.2994,-9.2372,69.31,90,1,8.48
94,Carnarvon,AU,2022-09-16 01:38:28,-24.8667,113.6333,66.7,54,0,18.95
95,Buala,SB,2022-09-16 01:38:28,-8.145,159.5921,85.73,56,39,7.18
96,Kushima,JP,2022-09-16 01:38:29,31.4583,131.2333,82.54,69,100,15.7
97,Hailar,CN,2022-09-16 01:38:29,49.2,119.7,71.55,33,13,5.59
98,Saskylakh,RU,2022-09-16 01:38:29,71.9167,114.0833,32.59,82,100,11.72
99,Barcelona,ES,2022-09-16 01:38:30,41.3888,2.159,75.54,81,20,6.91
100,Mindelo,CV,2022-09-16 01:38:30,16.8901,-24.9804,78.35,83,20,23.02
101,Bengkulu,ID,2022-09-16 01:38:30,-3.8004,102.2655,80.37,75,97,2.59
102,Fortuna,US,2022-09-16 01:38:31,40.5982,-124.1573,64.09,80,7,1.99
103,Tuktoyaktuk,CA,2022-09-16 01:38:31,69.4541,-133.0374,37.4,93,100,4.61
104,Kamenka,RU,2022-09-16 01:38:31,51.3223,42.7678,52.65,94,100,4.76
105,Crateus,BR,2022-09-16 01:38:31,-5.1783,-40.6775,79.95,46,24,3.36
106,Sao Miguel Do Araguaia,BR,2022-09-16 01:38:32,-13.275,-50.1628,85.01,23,11,6.53
107,Nishihara,JP,2022-09-16 01:38:32,26.1842,127.7558,87.46,74,40,11.5
108,Miles City,US,2022-09-16 01:38:32,46.4083,-105.8406,68.97,56,0,8.05
109,Calvinia,ZA,2022-09-16 01:38:33,-31.4707,19.776,55.94,28,0,0.83
110,Port Macquarie,AU,2022-09-16 01:38:33,-31.4333,152.9167,75.88,45,3,7.4
111,Urumqi,CN,2022-09-16 01:38:33,43.801,87.6005,50.95,50,0,2.24
112,Ankara,TR,2022-09-16 01:38:33,39.9199,32.8543,68.2,46,0,2.3
113,Coihaique,CL,2022-09-16 01:38:34,-45.5752,-72.0662,36.21,93,20,6.91
114,Telford,GB,2022-09-16 01:38:34,52.6766,-2.4493,51.71,87,20,6.91
115,Alamogordo,US,2022-09-16 01:35:51,32.8995,-105.9603,78.96,56,0,0.0
116,Port Alfred,ZA,2022-09-16 01:38:34,-33.5906,26.891,61.18,98,92,5.86
117,Port Hawkesbury,CA,2022-09-16 01:38:35,45.6169,-61.3485,56.79,82,75,16.11
118,Georgetown,MY,2022-09-16 01:33:56,5.4112,100.3354,84.88,76,20,3.44
119,Saint-Augustin,CA,2022-09-16 01:38:35,51.226,-58.6502,54.86,72,100,1.68
120,Longyearbyen,SJ,2022-09-16 01:38:35,78.2186,15.6401,31.84,86,75,3.44
121,Pangnirtung,CA,2022-09-16 01:38:35,66.1451,-65.7125,38.73,93,31,0.94
122,Ayaviri,PE,2022-09-16 01:38:36,-14.8864,-70.5889,39.0,86,100,2.39
123,Saint-Philippe,RE,2022-09-16 01:38:36,-21.3585,55.7679,67.59,87,62,15.59
124,Oranjemund,NA,2022-09-16 01:38:36,-28.55,16.4333,56.8,81,95,5.06
125,Araouane,ML,2022-09-16 01:38:36,18.9048,-3.5265,93.6,27,1,9.04
126,Oktyabrskoye,RU,2022-09-16 01:38:37,43.0645,44.7417,44.74,100,100,6.71
127,Sur,OM,2022-09-16 01:38:37,22.5667,59.5289,86.0,59,70,8.99
128,Mar Del Plata,AR,2022-09-16 01:38:37,-38.0023,-57.5575,54.09,88,0,32.01
129,Ancud,CL,2022-09-16 01:38:38,-41.8697,-73.8203,41.23,89,100,4.52
130,Kitimat,CA,2022-09-16 01:38:38,54.0524,-128.6534,55.9,22,100,3.09
131,Riacho De Santana,BR,2022-09-16 01:38:38,-13.6092,-42.9389,77.34,35,3,8.25
132,Borna,DE,2022-09-16 01:38:38,51.1167,12.5,56.59,85,100,6.91
133,Cabo San Lucas,MX,2022-09-16 01:34:05,22.8909,-109.9124,85.6,74,20,9.22
